"timestamp","phase","desired_replicas","current_replicas","ready_replicas","cpu_average_utilization_percent"
"2026-08-31T02:30:51.4858302Z","baseline","1","1","1","4"
"2026-08-31T02:30:55.9184852Z","load","1","1","1","4"
"2026-08-31T02:31:01.7669221Z","load","1","1","1","4"
"2026-08-31T02:31:07.6793918Z","load","1","1","1","4"
"2026-08-31T02:31:13.3632222Z","load","1","1","0","4"
"2026-08-31T02:31:19.1610309Z","load","3","3","0","260"
"2026-08-31T02:31:25.0392758Z","load","3","3","0","260"
"2026-08-31T02:31:31.0164353Z","load","3","3","0","260"
"2026-08-31T02:31:36.9068160Z","load","4","4","2","500"
"2026-08-31T02:31:42.7755237Z","load","4","4","2","500"
"2026-08-31T02:31:48.8511339Z","load","4","4","4","500"
"2026-08-31T02:31:54.7144596Z","load","4","4","3","500"
"2026-08-31T02:32:00.6188885Z","load","4","4","3","500"
"2026-08-31T02:32:06.4196618Z","load","4","4","4","439"
"2026-08-31T02:32:12.2108420Z","load","4","4","4","439"
"2026-08-31T02:32:17.9867271Z","load","4","4","4","439"
"2026-08-31T02:32:23.7394794Z","load","4","4","4","422"
"2026-08-31T02:32:29.5236025Z","load","4","4","4","422"
"2026-08-31T02:32:35.3270990Z","load","4","4","4","480"
"2026-08-31T02:32:41.1550997Z","load","4","4","4","480"
"2026-08-31T02:32:47.0302325Z","load","4","4","4","480"
"2026-08-31T02:32:53.0504564Z","load","4","4","4","434"
"2026-08-31T02:32:58.9605080Z","load","4","4","4","434"
"2026-08-31T02:33:04.9358348Z","cooldown","4","4","4","395"
"2026-08-31T02:33:10.7594019Z","cooldown","4","4","4","395"
"2026-08-31T02:33:16.5221830Z","cooldown","4","4","4","395"
"2026-08-31T02:33:22.2327524Z","cooldown","4","4","4","413"
"2026-08-31T02:33:27.9779931Z","cooldown","4","4","4","413"
"2026-08-31T02:33:33.7490286Z","cooldown","4","4","4","413"
"2026-08-31T02:33:39.4857122Z","cooldown","4","4","4","86"
"2026-08-31T02:33:45.2781802Z","cooldown","4","4","4","86"
"2026-08-31T02:33:51.1274400Z","cooldown","4","4","4","3"
"2026-08-31T02:33:56.8115988Z","cooldown","4","4","4","3"
"2026-08-31T02:34:02.4712769Z","cooldown","4","4","4","3"
"2026-08-31T02:34:08.1736867Z","cooldown","1","1","1","3"
