LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
47m         Warning   Unhealthy                      pod/user-service-7889876998-hbxz5       Readiness probe failed: Get "http://10.244.0.16:8000/ready": dial tcp 10.244.0.16:8000: connect: connection refused
47m         Warning   Unhealthy                      pod/content-service-6d684949bf-hd8m6    Readiness probe failed: Get "http://10.244.0.17:8000/ready": dial tcp 10.244.0.17:8000: connect: connection refused
47m         Warning   Unhealthy                      pod/social-service-5f86bd9676-l6sc5     Readiness probe failed: Get "http://10.244.0.18:8000/ready": dial tcp 10.244.0.18:8000: connect: connection refused
53m         Warning   Unhealthy                      pod/social-service-5f86bd9676-l6sc5     Readiness probe failed: Get "http://10.244.0.18:8000/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
49m         Warning   Unhealthy                      pod/postgres-ms-79c9cbd4c5-mjrxc        Liveness probe failed: command timed out: "sh -c pg_isready -U postgres -d $POSTGRES_DB" timed out after 1s
49m         Warning   Unhealthy                      pod/postgres-ms-79c9cbd4c5-mjrxc        Readiness probe failed: command timed out: "sh -c pg_isready -U postgres -d $POSTGRES_DB" timed out after 1s
2m34s       Normal    SuccessfulRescale              horizontalpodautoscaler/user-service    New size: 3; reason: cpu resource utilization (percentage of request) above target
4s          Normal    SuccessfulRescale              horizontalpodautoscaler/user-service    New size: 1; reason: All metrics below target
48m         Normal    SuccessfulCreate               job/schema-migration                    Created pod: schema-migration-57vg5
48m         Normal    Scheduled                      pod/schema-migration-57vg5              Successfully assigned streamhub-ms/schema-migration-57vg5 to streamhub-lab-control-plane
48m         Normal    Started                        pod/schema-migration-57vg5              Container started
48m         Normal    Created                        pod/schema-migration-57vg5              Container created
48m         Normal    Pulled                         pod/schema-migration-57vg5              Container image "postgres:16" already present on machine and can be accessed by the pod
48m         Normal    Completed                      job/schema-migration                    Job completed
48m         Normal    SuccessfulCreate               replicaset/user-service-cf8f7df87       Created pod: user-service-cf8f7df87-252mb
48m         Normal    ScalingReplicaSet              deployment/user-service                 Scaled up replica set user-service-cf8f7df87 from 0 to 1
48m         Normal    Scheduled                      pod/user-service-cf8f7df87-252mb        Successfully assigned streamhub-ms/user-service-cf8f7df87-252mb to streamhub-lab-control-plane
48m         Normal    Created                        pod/user-service-cf8f7df87-252mb        Container created
48m         Normal    Pulled                         pod/user-service-cf8f7df87-252mb        Container image "streamhub-user-service:local-ci-20260831-cn1" already present on machine and can be accessed by the pod
48m         Normal    Started                        pod/user-service-cf8f7df87-252mb        Container started
5m31s       Warning   Unhealthy                      pod/user-service-cf8f7df87-252mb        Readiness probe failed: Get "http://10.244.0.35:8000/ready": dial tcp 10.244.0.35:8000: connect: connection refused
48m         Normal    ScalingReplicaSet              deployment/user-service                 Scaled down replica set user-service-7889876998 from 1 to 0
48m         Normal    SuccessfulDelete               replicaset/user-service-7889876998      Deleted pod: user-service-7889876998-hbxz5
48m         Normal    Killing                        pod/user-service-7889876998-hbxz5       Stopping container user-service
5m27s       Normal    ScalingReplicaSet              deployment/content-service              Scaled up replica set content-service-db8588cf8 from 0 to 1
48m         Normal    Scheduled                      pod/content-service-db8588cf8-6l29w     Successfully assigned streamhub-ms/content-service-db8588cf8-6l29w to streamhub-lab-control-plane
48m         Normal    SuccessfulCreate               replicaset/content-service-db8588cf8    Created pod: content-service-db8588cf8-6l29w
48m         Normal    Started                        pod/content-service-db8588cf8-6l29w     Container started
48m         Normal    Pulled                         pod/content-service-db8588cf8-6l29w     Container image "streamhub-content-service:local-ci-20260831-cn1" already present on machine and can be accessed by the pod
48m         Normal    Created                        pod/content-service-db8588cf8-6l29w     Container created
47m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/user-service    failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
47m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/user-service    invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
5m24s       Warning   Unhealthy                      pod/content-service-db8588cf8-6l29w     Readiness probe failed: Get "http://10.244.0.36:8000/ready": dial tcp 10.244.0.36:8000: connect: connection refused
47m         Normal    ScalingReplicaSet              deployment/content-service              Scaled down replica set content-service-6d684949bf from 1 to 0
47m         Normal    SuccessfulDelete               replicaset/content-service-6d684949bf   Deleted pod: content-service-6d684949bf-hd8m6
47m         Normal    Killing                        pod/content-service-6d684949bf-hd8m6    Stopping container content-service
47m         Normal    SuccessfulCreate               replicaset/social-service-58c6f8c7dc    Created pod: social-service-58c6f8c7dc-fq7jd
47m         Normal    Pulled                         pod/social-service-58c6f8c7dc-fq7jd     Container image "streamhub-social-service:local-ci-20260831-cn1" already present on machine and can be accessed by the pod
47m         Normal    ScalingReplicaSet              deployment/social-service               Scaled up replica set social-service-58c6f8c7dc from 0 to 1
47m         Normal    Scheduled                      pod/social-service-58c6f8c7dc-fq7jd     Successfully assigned streamhub-ms/social-service-58c6f8c7dc-fq7jd to streamhub-lab-control-plane
47m         Normal    Started                        pod/social-service-58c6f8c7dc-fq7jd     Container started
47m         Normal    Created                        pod/social-service-58c6f8c7dc-fq7jd     Container created
47m         Warning   Unhealthy                      pod/social-service-58c6f8c7dc-fq7jd     Readiness probe failed: Get "http://10.244.0.37:8000/ready": dial tcp 10.244.0.37:8000: connect: connection refused
47m         Normal    Killing                        pod/social-service-5f86bd9676-l6sc5     Stopping container social-service
47m         Normal    ScalingReplicaSet              deployment/social-service               Scaled down replica set social-service-5f86bd9676 from 1 to 0
47m         Normal    SuccessfulDelete               replicaset/social-service-5f86bd9676    Deleted pod: social-service-5f86bd9676-l6sc5
47m         Normal    ScalingReplicaSet              deployment/gateway                      Scaled up replica set gateway-6f687c5f74 from 0 to 1
47m         Normal    SuccessfulCreate               replicaset/gateway-6f687c5f74           Created pod: gateway-6f687c5f74-j6b9v
