"timestamp","phase","desired_replicas","current_replicas","ready_replicas","cpu_average_utilization_percent"
"2026-08-31T02:36:42.7762059Z","baseline","1","1","1","3"
"2026-08-31T02:36:44.5779434Z","load","1","1","1","3"
"2026-08-31T02:36:50.3237150Z","load","1","1","1","3"
"2026-08-31T02:36:56.0298120Z","load","1","1","1","3"
"2026-08-31T02:37:01.7707117Z","load","1","1","1","3"
"2026-08-31T02:37:07.4788149Z","load","3","3","1","140"
"2026-08-31T02:37:13.2895605Z","load","3","3","1","140"
"2026-08-31T02:37:19.1389465Z","load","3","3","3","140"
"2026-08-31T02:37:24.9527504Z","load","4","4","3","140"
"2026-08-31T02:37:30.7002762Z","load","4","4","3","140"
"2026-08-31T02:37:36.3898858Z","load","4","4","4","500"
"2026-08-31T02:37:42.0590947Z","load","4","4","4","500"
"2026-08-31T02:37:47.7703686Z","load","4","4","4","500"
"2026-08-31T02:37:53.4691924Z","load","4","4","4","327"
"2026-08-31T02:37:59.2372693Z","load","4","4","4","327"
"2026-08-31T02:38:05.0018423Z","load","4","4","4","348"
"2026-08-31T02:38:10.7600726Z","load","4","4","4","348"
"2026-08-31T02:38:16.4660259Z","load","4","4","4","348"
"2026-08-31T02:38:22.1619520Z","load","4","4","4","329"
"2026-08-31T02:38:27.8950178Z","load","4","4","4","329"
"2026-08-31T02:38:33.5809541Z","load","4","4","4","329"
"2026-08-31T02:38:39.2588508Z","load","4","4","4","322"
"2026-08-31T02:38:44.9708027Z","load","4","4","4","322"
"2026-08-31T02:38:50.6048830Z","cooldown","4","4","4","290"
"2026-08-31T02:38:56.2484163Z","cooldown","4","4","4","290"
"2026-08-31T02:39:01.9237224Z","cooldown","4","4","4","290"
"2026-08-31T02:39:07.6253649Z","cooldown","4","4","4","94"
"2026-08-31T02:39:13.2921841Z","cooldown","4","4","4","94"
"2026-08-31T02:39:19.0026903Z","cooldown","4","4","4","94"
"2026-08-31T02:39:24.6578382Z","cooldown","4","4","4","3"
"2026-08-31T02:39:30.2872527Z","cooldown","4","4","4","3"
"2026-08-31T02:39:36.0672012Z","cooldown","1","1","1","3"
