"timestamp","phase","desired_replicas","current_replicas","ready_replicas","cpu_average_utilization_percent"
"2026-08-31T07:44:58.8756720Z","baseline","1","1","1","3"
"2026-08-31T07:45:00.9045850Z","load","1","1","1","3"
"2026-08-31T07:45:06.7405894Z","load","1","1","1","5"
"2026-08-31T07:45:12.3885437Z","load","1","1","1","5"
"2026-08-31T07:45:18.0361754Z","load","1","1","1","12"
"2026-08-31T07:45:23.7115332Z","load","1","1","1","12"
"2026-08-31T07:45:29.5457282Z","load","1","1","1","12"
"2026-08-31T07:45:35.3073472Z","load","3","3","1","485"
"2026-08-31T07:45:41.0147821Z","load","3","3","1","485"
"2026-08-31T07:45:46.7779329Z","load","4","4","3","502"
"2026-08-31T07:45:52.4347079Z","load","4","4","3","502"
"2026-08-31T07:45:58.1228897Z","load","4","4","3","502"
"2026-08-31T07:46:03.8244597Z","load","4","4","4","502"
"2026-08-31T07:46:09.5734501Z","load","4","4","4","502"
"2026-08-31T07:46:15.2466584Z","load","4","4","4","502"
"2026-08-31T07:46:20.9749435Z","load","4","4","4","365"
"2026-08-31T07:46:26.7423851Z","load","4","4","4","365"
"2026-08-31T07:46:32.4478396Z","load","4","4","4","344"
"2026-08-31T07:46:38.2040492Z","load","4","4","4","344"
"2026-08-31T07:46:43.9394393Z","load","4","4","4","344"
"2026-08-31T07:46:49.6969416Z","load","4","4","4","296"
"2026-08-31T07:46:55.4432506Z","load","4","4","4","296"
"2026-08-31T07:47:01.1516130Z","load","4","4","4","296"
"2026-08-31T07:47:06.9790859Z","cooldown","4","4","4","274"
"2026-08-31T07:47:12.7700933Z","cooldown","4","4","4","274"
"2026-08-31T07:47:18.5874533Z","cooldown","4","4","4","316"
"2026-08-31T07:47:24.2655084Z","cooldown","4","4","4","316"
"2026-08-31T07:47:29.9028327Z","cooldown","4","4","4","316"
"2026-08-31T07:47:35.5348455Z","cooldown","4","4","4","129"
"2026-08-31T07:47:41.1717143Z","cooldown","4","4","4","129"
"2026-08-31T07:47:46.8689130Z","cooldown","4","4","4","49"
"2026-08-31T07:47:52.4769007Z","cooldown","4","4","4","49"
"2026-08-31T07:47:58.0881421Z","cooldown","4","4","4","49"
"2026-08-31T07:48:03.7776671Z","cooldown","4","4","4","3"
"2026-08-31T07:48:09.6015876Z","cooldown","4","4","4","3"
"2026-08-31T07:48:15.2405052Z","cooldown","4","4","4","3"
"2026-08-31T07:48:20.8369954Z","cooldown","1","1","1","3"
