LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
16m         Warning   Unhealthy           pod/content-service-5fdbdd46fd-sl7qw    Readiness probe failed: Get "http://10.244.0.19:8000/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
6m55s       Warning   Unhealthy           pod/postgres-ms-79c9cbd4c5-hxtkj        Readiness probe failed: command timed out: "sh -c pg_isready -U postgres -d $POSTGRES_DB" timed out after 1s
2m55s       Normal    ScalingReplicaSet   deployment/user-service                 Scaled up replica set user-service-55879c4b59 from 1 to 3
2m55s       Normal    SuccessfulRescale   horizontalpodautoscaler/user-service    New size: 3; reason: cpu resource utilization (percentage of request) above target
2m55s       Normal    SuccessfulCreate    replicaset/user-service-55879c4b59      Created pod: user-service-55879c4b59-mq87c
2m55s       Normal    Scheduled           pod/user-service-55879c4b59-4m2zf       Successfully assigned streamhub-ms/user-service-55879c4b59-4m2zf to streamhub-selftest-20260901160037-control-plane
2m55s       Normal    Scheduled           pod/user-service-55879c4b59-mq87c       Successfully assigned streamhub-ms/user-service-55879c4b59-mq87c to streamhub-selftest-20260901160037-control-plane
2m55s       Normal    SuccessfulCreate    replicaset/user-service-55879c4b59      Created pod: user-service-55879c4b59-4m2zf
2m53s       Normal    Pulled              pod/user-service-55879c4b59-4m2zf       Container image "streamhub-user-service:selftest-20260901160037" already present on machine and can be accessed by the pod
2m53s       Normal    Pulled              pod/user-service-55879c4b59-mq87c       Container image "streamhub-user-service:selftest-20260901160037" already present on machine and can be accessed by the pod
2m53s       Normal    Started             pod/user-service-55879c4b59-4m2zf       Container started
2m53s       Normal    Started             pod/user-service-55879c4b59-mq87c       Container started
2m53s       Normal    Created             pod/user-service-55879c4b59-4m2zf       Container created
2m53s       Normal    Created             pod/user-service-55879c4b59-mq87c       Container created
2m47s       Warning   Unhealthy           pod/user-service-55879c4b59-mq87c       Readiness probe failed: Get "http://10.244.0.21:8000/ready": dial tcp 10.244.0.21:8000: connect: connection refused
2m47s       Warning   Unhealthy           pod/user-service-55879c4b59-4m2zf       Readiness probe failed: Get "http://10.244.0.20:8000/ready": dial tcp 10.244.0.20:8000: connect: connection refused
2m40s       Normal    SuccessfulRescale   horizontalpodautoscaler/user-service    New size: 4; reason: cpu resource utilization (percentage of request) above target
2m40s       Normal    ScalingReplicaSet   deployment/user-service                 Scaled up replica set user-service-55879c4b59 from 3 to 4
2m40s       Normal    SuccessfulCreate    replicaset/user-service-55879c4b59      Created pod: user-service-55879c4b59-8ljnr
2m40s       Normal    Scheduled           pod/user-service-55879c4b59-8ljnr       Successfully assigned streamhub-ms/user-service-55879c4b59-8ljnr to streamhub-selftest-20260901160037-control-plane
2m39s       Normal    Pulled              pod/user-service-55879c4b59-8ljnr       Container image "streamhub-user-service:selftest-20260901160037" already present on machine and can be accessed by the pod
2m39s       Normal    Created             pod/user-service-55879c4b59-8ljnr       Container created
2m39s       Normal    Started             pod/user-service-55879c4b59-8ljnr       Container started
24s         Warning   Unhealthy           pod/user-service-55879c4b59-8ljnr       Readiness probe failed: Get "http://10.244.0.22:8000/ready": dial tcp 10.244.0.22:8000: connect: connection refused
25s         Normal    Killing             pod/user-service-55879c4b59-mq87c       Stopping container user-service
25s         Normal    SuccessfulDelete    replicaset/user-service-55879c4b59      Deleted pod: user-service-55879c4b59-8ljnr
25s         Normal    Killing             pod/user-service-55879c4b59-4m2zf       Stopping container user-service
25s         Normal    ScalingReplicaSet   deployment/user-service                 Scaled down replica set user-service-55879c4b59 from 4 to 1
25s         Normal    Killing             pod/user-service-55879c4b59-8ljnr       Stopping container user-service
25s         Normal    SuccessfulRescale   horizontalpodautoscaler/user-service    New size: 1; reason: All metrics below target
25s         Normal    SuccessfulDelete    replicaset/user-service-55879c4b59      Deleted pod: user-service-55879c4b59-mq87c
25s         Normal    SuccessfulDelete    replicaset/user-service-55879c4b59      Deleted pod: user-service-55879c4b59-4m2zf
22s         Normal    ScalingReplicaSet   deployment/content-service              Scaled down replica set content-service-5fdbdd46fd from 1 to 0
22s         Normal    SuccessfulDelete    replicaset/content-service-5fdbdd46fd   Deleted pod: content-service-5fdbdd46fd-sl7qw
22s         Normal    Killing             pod/content-service-5fdbdd46fd-sl7qw    Stopping container content-service
16s         Warning   Unhealthy           pod/content-service-5fdbdd46fd-sl7qw    Readiness probe failed: Get "http://10.244.0.19:8000/ready": dial tcp 10.244.0.19:8000: connect: connection refused
20s         Normal    SuccessfulCreate    replicaset/content-service-5fdbdd46fd   Created pod: content-service-5fdbdd46fd-l9ljl
20s         Normal    Scheduled           pod/content-service-5fdbdd46fd-l9ljl    Successfully assigned streamhub-ms/content-service-5fdbdd46fd-l9ljl to streamhub-selftest-20260901160037-control-plane
20s         Normal    ScalingReplicaSet   deployment/content-service              Scaled up replica set content-service-5fdbdd46fd from 0 to 1
19s         Normal    Started             pod/content-service-5fdbdd46fd-l9ljl    Container started
19s         Normal    Created             pod/content-service-5fdbdd46fd-l9ljl    Container created
19s         Normal    Pulled              pod/content-service-5fdbdd46fd-l9ljl    Container image "streamhub-content-service:selftest-20260901160037" already present on machine and can be accessed by the pod
8s          Warning   Unhealthy           pod/content-service-5fdbdd46fd-l9ljl    Readiness probe failed: Get "http://10.244.0.23:8000/ready": dial tcp 10.244.0.23:8000: connect: connection refused
