"timestamp","phase","desired_replicas","current_replicas","ready_replicas","cpu_average_utilization_percent"
"2026-09-01T11:31:49.1110424Z","baseline","1","1","1","4"
"2026-09-01T11:31:52.8780245Z","load","1","1","1","3"
"2026-09-01T11:31:59.4909492Z","load","1","1","1","3"
"2026-09-01T11:32:06.1668384Z","load","1","1","1","3"
"2026-09-01T11:32:12.8317038Z","load","1","1","1","4"
"2026-09-01T11:32:19.3949102Z","load","1","1","1","4"
"2026-09-01T11:32:26.1635404Z","load","3","3","1","328"
"2026-09-01T11:32:33.0246457Z","load","3","3","1","328"
"2026-09-01T11:32:39.8323595Z","load","4","4","3","500"
"2026-09-01T11:32:46.6842933Z","load","4","4","3","500"
"2026-09-01T11:32:53.4101419Z","load","4","4","4","500"
"2026-09-01T11:33:00.3052647Z","load","4","4","4","500"
"2026-09-01T11:33:06.9163039Z","load","4","4","4","438"
"2026-09-01T11:33:13.5195723Z","load","4","4","4","438"
"2026-09-01T11:33:20.2079501Z","load","4","4","4","438"
"2026-09-01T11:33:26.9203376Z","load","4","4","4","320"
"2026-09-01T11:33:33.4847124Z","load","4","4","4","320"
"2026-09-01T11:33:40.1594300Z","load","4","4","4","215"
"2026-09-01T11:33:46.7958566Z","load","4","4","4","215"
"2026-09-01T11:33:53.4098774Z","load","4","4","4","309"
"2026-09-01T11:34:00.1129353Z","cooldown","4","4","4","309"
"2026-09-01T11:34:06.7905627Z","cooldown","4","4","4","311"
"2026-09-01T11:34:13.5011300Z","cooldown","4","4","4","311"
"2026-09-01T11:34:20.1470885Z","cooldown","4","4","4","311"
"2026-09-01T11:34:26.6799272Z","cooldown","4","4","4","89"
"2026-09-01T11:34:33.2292482Z","cooldown","4","4","4","89"
"2026-09-01T11:34:39.7796650Z","cooldown","4","4","4","10"
"2026-09-01T11:34:46.4015935Z","cooldown","4","4","4","10"
"2026-09-01T11:34:53.1628765Z","cooldown","1","1","1","3"
