"timestamp","phase","desired_replicas","current_replicas","ready_replicas","cpu_average_utilization_percent"
"2026-09-01T11:36:55.8298419Z","baseline","1","1","1","4"
"2026-09-01T11:36:58.6593966Z","load","1","1","1","4"
"2026-09-01T11:37:05.3064737Z","load","1","1","1","4"
"2026-09-01T11:37:12.5482910Z","load","1","1","1","4"
"2026-09-01T11:37:19.2564221Z","load","1","1","1","4"
"2026-09-01T11:37:25.8983416Z","load","1","1","1","38"
"2026-09-01T11:37:32.3883116Z","load","1","1","1","38"
"2026-09-01T11:37:39.0102328Z","load","3","3","1","497"
"2026-09-01T11:37:45.8407887Z","load","3","3","1","497"
"2026-09-01T11:37:52.5304196Z","load","3","3","3","499"
"2026-09-01T11:37:59.1712356Z","load","4","4","3","499"
"2026-09-01T11:38:05.8228623Z","load","4","4","4","499"
"2026-09-01T11:38:12.5088124Z","load","4","4","4","499"
"2026-09-01T11:38:19.2018623Z","load","4","4","4","499"
"2026-09-01T11:38:25.8932494Z","load","4","4","4","360"
"2026-09-01T11:38:32.5873102Z","load","4","4","4","360"
"2026-09-01T11:38:39.2236178Z","load","4","4","4","250"
"2026-09-01T11:38:45.8445958Z","load","4","4","4","250"
"2026-09-01T11:38:52.5098468Z","load","4","4","4","357"
"2026-09-01T11:38:59.3605400Z","load","4","4","4","357"
"2026-09-01T11:39:05.9108793Z","cooldown","4","4","4","357"
"2026-09-01T11:39:12.5212472Z","cooldown","4","4","4","338"
"2026-09-01T11:39:19.1052163Z","cooldown","4","4","4","338"
"2026-09-01T11:39:25.7396111Z","cooldown","4","4","4","251"
"2026-09-01T11:39:32.4428228Z","cooldown","4","4","4","251"
"2026-09-01T11:39:39.0725555Z","cooldown","4","4","4","16"
"2026-09-01T11:39:45.6390764Z","cooldown","4","4","4","16"
"2026-09-01T11:39:52.1026219Z","cooldown","4","4","4","16"
"2026-09-01T11:39:58.6842776Z","cooldown","2","2","2","3"
"2026-09-01T11:40:05.3518080Z","cooldown","2","2","2","3"
"2026-09-01T11:40:11.9823046Z","cooldown","1","1","1","3"
